CODE_UIC;LIBELLE_GARE;FRET;VOYAGEURS;CODE_LIGNE;RANG;PK;COMMUNE;DEPARTEMENT;IDRESEAU;IDGAIA;X (lambert93);Y (lambert93);X (WGS84);Y (WGS84);coordonnees_geographiques
87481358;Paimboeuf;N;N;537000;1;27+427;Paimboeuf;Loire-Atlantique;30000005904;e00c4cf2-19bf-11e5-82ff-01fc64e0362d;320266.7349999994;6699439.692600001;-2.0274147324376246;47.28643967462114;47.2864396746, -2.02741473244
87481440;Clisson;O;O;530000;1;26+296;Clisson;Loire-Atlantique;30000003754;e1571544-19bf-11e5-a6ff-01fc64e0362d;374969.09860000014;6673906.831500001;-1.28640768160279;47.08599734750532;47.0859973475, -1.2864076816
87481671;Rougé;N;N;463000;1;367+996;Rougé;Loire-Atlantique;30000008960;e549f412-6667-11e3-a7ff-01f464e0362d;366578.34049999714;6751901.797699999;-1.4548017184676743;47.78284023543716;47.7828402354, -1.45480171847
87481408;Vertou;O;O;530000;1;6+921;Vertou;Loire-Atlantique;30000007178;d944a474-6667-11e3-89ff-01f464e0362d;361089.1328999996;6685808.9087000005;-1.477960707809942;47.18605510217721;47.1860551021, -1.47796070781
87481473;Nozay;N;N;460000;1;383+376;Louisfert;Loire-Atlantique;30000081124;e5467814-6667-11e3-a7ff-01f464e0362d;;;;;
87478636;Ambrières-Centre;N;N;436000;1;323+267;Ambrières-les-Vallées;Mayenne;30000002861;e5429cee-6667-11e3-a7ff-01f464e0362d;432044.60920000076;6817228.533500001;-0.6214787041963835;48.400038450297686;48.4000384503, -0.621478704196
87478529;La Chapelle-Anthenaise;N;N;420000;1;288+910;La Chapelle-Anthenaise;Mayenne;30000008945;d9d8ef74-6667-11e3-89ff-01f464e0362d;428926.5974999964;6787228.9157;-0.6448575152751108;48.12911225552882;48.1291122555, -0.644857515275
87478255;Pleine-Fougères;O;N;415000;1;121+099;Pleine-Fougères;Ille-et-Vilaine;30000008921;292b5376-dfbc-11e3-a2ff-01a464e0362d;363074.76680000126;6835262.517099999;-1.5658410057267649;48.52990705222532;48.5299070522, -1.56584100573
87476754;Sévérac;N;O;470000;1;498+628;Sévérac;Loire-Atlantique;30000006841;d98efe6e-6667-11e3-89ff-01f464e0362d;318722.78119999915;6728858.290899999;-2.072787144848598;47.54983414389597;47.5498341439, -2.07278714485
87476820;Malestroit;N;N;471000;1;557+337;St-Marcel;Morbihan;30000008918;e546a408-6667-11e3-a7ff-01f464e0362d;295897.37110000104;6759108.807999998;-2.4030539678794876;47.80789593676106;47.8078959367, -2.40305396788
87476689;Malansac;N;O;470000;1;528+571;Malansac;Morbihan;30000005327;296925a6-dfbc-11e3-a2ff-01a464e0362d;302955.7617999986;6743890.885200001;-2.2953410975949944;47.67554186869083;47.6755418687, -2.29534109759
87478552;Évron;N;O;420000;1;269+365;Évron;Mayenne;30000004111;d96bb1cc-6667-11e3-89ff-01f464e0362d;447478.8922000006;6789358.0689;-0.3969527158821172;48.155693198678215;48.1556931987, -0.396952715882
